City_ID,City,City_ID,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
386,Meiktila,386,mm,89.82,few clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
389,Mount Pleasant,389,us,66.99,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
390,Hualmay,390,pe,68.43,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
396,Kundiawa,396,pg,79.25,overcast clouds,-6.0167,144.9667,Kundiawa Hotel
397,Sompeta,397,in,91.51,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
398,Kisangani,398,cd,70.72,overcast clouds,0.5167,25.2,Grand Ramela Hotel
404,Porto Novo,404,cv,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
406,Kaohsiung,406,tw,86.0,broken clouds,22.6163,120.3133,Kindness Hotel
409,Buraydah,409,sa,71.6,few clouds,26.326,43.975,فندق راحة السلام
410,Maues,410,br,73.42,light rain,-3.3836,-57.7186,Hotel Miramar
417,Altamira,417,br,71.73,overcast clouds,-3.2033,-52.2064,Requinte Hotel
418,Hambantota,418,lk,80.6,few clouds,6.1241,81.1185,Bungalow 63
422,Bac Lieu,422,vn,87.22,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
424,Victoria,424,sc,84.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
426,Langsa,426,id,87.55,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
428,Benguela,428,ao,76.93,light rain,-12.5763,13.4055,Hotel Praia Morena
432,Half Moon Bay,432,us,77.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
433,Santa Isabel Do Rio Negro,433,br,73.38,light rain,-0.4139,-65.0192,Hotel GSA
434,Miami,434,us,78.8,few clouds,25.7743,-80.1937,Miami Sun Hotel
435,The Valley,435,ai,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
436,Kochi,436,in,82.4,mist,9.9399,76.2602,Hotel Abad
438,Presidente Bernardes,438,br,71.6,clear sky,-22.0061,-51.5531,Hotel Central
439,Buta,439,cd,74.37,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
440,Tshikapa,440,cd,69.06,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
441,Itaituba,441,br,73.54,moderate rain,-4.2761,-55.9836,Hotel Campos
443,Alofi,443,nu,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
444,Praia,444,cv,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
446,Dongying,446,cn,65.19,overcast clouds,37.4564,118.4856,Wanda Realm
448,Cockburn Town,448,tc,77.2,clear sky,21.4612,-71.1419,Osprey Beach Hotel
450,Enshi,450,cn,61.43,overcast clouds,30.3,109.4833,Moevenpick Enshi
453,Celestun,453,mx,79.41,broken clouds,20.8667,-90.4,Posada Lilia
455,Kijang,455,id,68.0,clear sky,35.2442,129.2139,Samyang Beach Villa
456,Port Hedland,456,au,96.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
458,Mubende,458,ug,60.64,overcast clouds,0.5606,31.39,Nakayima Hotel
459,Ilan,459,tw,84.0,light rain,24.756999999999998,121.75299999999999,Dar Chen Hotel
461,Adiake,461,ci,82.4,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
462,Peniche,462,pt,61.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
463,Mogok,463,mm,82.02,clear sky,22.9167,96.5,MOGOK HILL HOTEL
464,San Jose,464,bo,78.8,clear sky,37.3394,-121.895,The Westin San Jose
466,Pedernales,466,do,78.33,clear sky,18.0384,-71.744,Hotel Costa Marina
468,Inirida,468,co,74.05,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
471,Nichinan,471,jp,64.4,light rain,31.6,131.3667,Guest House Aki
472,Carutapera,472,br,75.6,overcast clouds,-1.195,-46.02,Lidera
476,Abaete,476,br,69.03,scattered clouds,-19.16,-45.4458,Hotel Millenium
480,Wanaka,480,nz,66.79,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
481,Nelson Bay,481,au,73.99,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
482,Nsanje,482,mw,63.73,few clouds,-16.92,35.262,Nsanje Discovery Lodge
483,Sao Felix Do Xingu,483,br,71.62,broken clouds,-6.6447,-51.995,Rio Xingu Camping
484,Dabakala,484,ci,76.12,broken clouds,8.3667,-4.4333,Hôtel Campement
485,Iquique,485,cl,68.0,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
487,Pochutla,487,mx,82.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
492,Odweyne,492,so,67.15,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
494,Calabar,494,ng,78.93,broken clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
495,Biak,495,id,85.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
497,Merauke,497,id,84.33,overcast clouds,-8.4667,140.3333,PC
500,Dhidhdhoo,500,mv,84.47,clear sky,6.8833,73.1,Dhidhoo beach
504,Mala,504,pe,69.64,scattered clouds,-12.6581,-76.6308,Hotel Granda
508,Canutama,508,br,71.37,light rain,-6.5339,-64.3831,Hotel Jhennifer
511,Kununurra,511,au,89.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
513,Kulhudhuffushi,513,mv,84.4,clear sky,6.6221,73.07,Haajy Guest House 1
515,Te Anau,515,nz,67.73,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
518,Malanje,518,ao,62.56,light rain,-9.5402,16.340999999999998,Malanje Hotel
519,Puerto Colombia,519,co,80.6,clear sky,10.9878,-74.9547,Hotel El Emigrante
521,Sinnamary,521,gf,76.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
522,La Palma,522,pa,78.8,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
527,Tamandare,527,br,78.31,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
532,Inhambane,532,mz,71.22,overcast clouds,-23.865,35.3833,Oceano
535,Sal Rei,535,cv,68.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
536,Cape Canaveral,536,us,73.99,light rain,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
537,Chokwe,537,mz,67.69,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
541,Waingapu,541,id,82.98,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
544,Riyadh,544,sa,77.0,clear sky,24.6877,46.7219,InterContinental Riyadh
546,Sabang,546,id,81.32,overcast clouds,5.8933,95.3214,Hotel Citra
547,Alyangula,547,au,86.95,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
549,Trinidad,549,bo,73.26,light rain,-14.8333,-64.9,Hotel Piesta
550,Karratha,550,au,94.41,clear sky,-20.7377,116.8463,ibis Styles Karratha
552,Dalbandin,552,pk,65.1,clear sky,28.8947,64.4101,Sanjrani House
553,Kendari,553,id,86.16,overcast clouds,-3.945,122.4989,Hotel Wixel
558,Ribas Do Rio Pardo,558,br,69.26,few clouds,-20.4431,-53.7592,Pousada Avenida
559,Boffa,559,gn,76.39,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
560,Acajutla,560,sv,79.0,clear sky,13.5928,-89.8275,asi es
562,Acarau,562,br,77.61,overcast clouds,-2.8856,-40.12,castelo pizzaria
564,Rumphi,564,mw,60.58,few clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
566,Musoma,566,tz,66.65,overcast clouds,-1.5,33.8,New Peninsula Hotel
569,Dao,569,ph,84.47,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
570,Katherine,570,au,91.4,clear sky,-14.4667,132.2667,Pine Tree Motel
572,Ugoofaaru,572,mv,84.42,broken clouds,5.6667,73.0,Ungoofaaru Inn
575,Sawakin,575,sd,72.79,broken clouds,19.1059,37.3321,فندق الدويم
577,Digha,577,in,87.08,clear sky,21.6833,87.55,Khoniker Atithi
578,Tautira,578,pf,86.0,light rain,-17.7333,-149.15,Pension Oaoa
580,Ahipara,580,nz,67.03,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
581,Iacu,581,br,73.81,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
584,Takoradi,584,gh,79.23,few clouds,4.8845,-1.7554,Raybow International Hotel
590,Gusau,590,ng,72.3,scattered clouds,12.1628,6.6614,GUEST INN
591,Bani,591,do,75.0,clear sky,18.2833,-70.3333,Hospedaje Henriquez
592,Sanchazi,592,cn,61.93,broken clouds,42.0817,126.6003,Home Inn
593,Alvorada,593,br,76.3,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
594,Dongzhen,594,cn,87.01,clear sky,22.3797,110.9389,茂名中汇时尚酒店
596,Casa Nova,596,br,77.79,overcast clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
597,Richards Bay,597,za,69.48,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
599,Amparafaravola,599,mg,64.51,broken clouds,-17.5833,48.2167,Aina Franco
