City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
324,Srednekolymsk,67.45,153.6833,11.23,76,100,8.52,overcast clouds
325,La Asuncion,11.0333,-63.8628,75.6,86,18,14.85,few clouds
326,Newport,51.5877,-2.9984,50.0,88,58,7.45,broken clouds
327,Husavik,66.0449,-17.3389,41.0,70,90,20.71,light intensity drizzle
328,Pandan,14.0453,124.1694,84.25,62,63,10.47,broken clouds
329,Salalah,17.0151,54.0924,77.0,25,0,2.3,clear sky
330,Taoudenni,22.6783,-3.9836,80.4,8,26,11.1,scattered clouds
331,Kolokani,13.5728,-8.0339,79.3,13,21,9.42,few clouds
332,San Felipe,10.3399,-68.7425,72.27,95,100,5.88,overcast clouds
333,Baruun-Urt,46.6806,113.2792,46.74,29,100,10.11,overcast clouds
334,Rawson,-43.3002,-65.1023,58.68,91,100,14.72,overcast clouds
335,Hit,33.6416,42.8251,62.94,33,34,13.69,scattered clouds
336,Dicabisagan,17.0818,122.4157,84.69,66,52,6.04,broken clouds
337,Klaksvik,62.2266,-6.589,37.4,75,62,9.22,broken clouds
338,Jiaohe,43.7286,127.3447,54.18,40,66,5.35,broken clouds
339,Letka,59.6011,49.4232,32.45,98,100,7.18,snow
340,Alvorada,-12.48,-49.1247,77.43,69,70,2.93,broken clouds
341,Santa Maria,-29.6842,-53.8069,64.4,88,40,3.44,scattered clouds
342,Marsh Harbour,26.5412,-77.0636,75.87,74,41,11.01,scattered clouds
343,Marathon,44.9,-89.7668,28.4,37,20,11.5,few clouds
344,Labuan,5.2767,115.2417,80.6,94,20,2.3,few clouds
345,Inirida,3.8653,-67.9239,74.39,95,100,2.21,overcast clouds
346,Sunrise Manor,36.2111,-115.0731,73.4,5,1,12.66,clear sky
347,Ilinge,-31.9768,27.0427,50.25,90,2,0.83,clear sky
348,Brownsville,25.9018,-97.4975,77.0,83,75,10.36,broken clouds
349,Touros,-5.1989,-35.4608,78.8,89,40,3.44,scattered clouds
350,Dunedin,-45.8742,170.5036,55.0,68,6,24.0,clear sky
351,Ixtapa,20.7,-105.2,77.0,57,20,9.22,few clouds
352,Chekhov,55.1431,37.4711,39.99,99,100,7.61,light rain
353,Portland,45.5234,-122.6762,69.8,32,75,3.4,broken clouds
354,Tosno,59.54,30.8775,35.01,93,0,4.47,clear sky
355,Mineiros,-17.5694,-52.5511,68.36,77,0,3.2,clear sky
356,Vryburg,-26.9566,24.7284,60.89,71,16,2.86,few clouds
357,Tashtagol,52.7657,87.8894,21.15,94,100,1.88,overcast clouds
358,Jinchang,38.4953,102.1739,43.56,48,100,10.94,overcast clouds
359,Tatawin,32.9297,10.4518,51.53,82,0,2.91,clear sky
360,Castrillon,43.3979,-6.7922,69.8,30,0,4.61,clear sky
361,Sur,22.5667,59.5289,79.57,48,23,7.81,few clouds
362,Bom Jesus,-9.0744,-44.3586,72.7,88,89,2.17,overcast clouds
363,Alofi,-19.0595,-169.9187,86.0,74,75,13.8,broken clouds
364,Sept-Iles,50.2001,-66.3821,37.99,81,90,14.97,overcast clouds
365,Languyan,5.2618,120.0807,84.65,68,94,9.57,overcast clouds
366,Pacific Grove,36.6177,-121.9166,78.8,17,1,6.91,clear sky
367,Harlingen,26.1906,-97.6961,72.0,88,90,23.02,overcast clouds
368,Henties Bay,-22.116,14.2845,63.0,91,70,5.01,broken clouds
369,Gaoual,11.75,-13.2,79.43,48,9,3.58,clear sky
370,Nizhnevartovsk,60.9344,76.5531,24.8,80,0,8.95,light snow
371,Wuda,39.4994,106.7117,44.49,66,100,9.4,overcast clouds
372,La Crosse,43.8014,-91.2396,33.8,37,90,16.11,overcast clouds
373,Camalu,30.85,-116.0667,67.98,39,39,5.03,scattered clouds
374,Meulaboh,4.1363,96.1285,74.77,88,100,5.37,overcast clouds
